"Date","KWH"
2011-12-08,208.634160084
2011-12-09,181.71468
2011-12-10,206.781119832
2011-12-11,233.22516042
2011-12-12,223.475279832
2011-12-13,193.728359664
2011-12-14,225.94656042
2011-12-15,233.159640588
2011-12-16,220.454639748
2011-12-17,206.865959832
2011-12-18,240.115679748
2011-12-19,227.90292
2011-12-20,236.83967958
2011-12-21,224.025480084
2011-12-22,185.586239664
2011-12-23,188.927760252
2011-12-24,189.836639916
2011-12-25,189.603119832
2011-12-26,175.898519664
2011-12-27,180.073319916
2011-12-28,211.270080504
2011-12-29,209.68667958
2011-12-30,234.055079916
2011-12-31,235.552800336
2012-01-01,231.147000168
2012-01-02,226.504320252
2012-01-03,224.883960252
2012-01-04,227.246879664
2012-01-05,246.05531958
2012-01-06,217.4718
2012-01-07,216.488160504
2012-01-08,238.453319832
2012-01-09,228.448920252
2012-01-10,213.943799496
2012-01-11,210.169680252
2012-01-12,221.434919832
2012-01-13,215.218920252
2012-01-14,231.111720168
2012-01-15,230.566560588
2012-01-16,247.15152
2012-01-17,231.134400252
2012-01-18,244.788599412
2012-01-19,233.884559832
2012-01-20,224.21027958
2012-01-21,205.426199664
2012-01-22,237.924959412
2012-01-23,246.439199916
2012-01-24,255.574199832
2012-01-25,232.461599496
2012-01-26,246.70968
2012-01-27,220.68143958
2012-01-28,235.026119244
2012-01-29,240.655799916
2012-01-30,262.294200084
2012-01-31,259.29792
2012-02-01,285.977999916
2012-02-02,314.224679832
2012-02-03,302.04048042
2012-02-04,290.324999916
2012-02-05,318.620400084
2012-02-06,300.016080672
2012-02-07,308.336280252
2012-02-08,339.679199916
2012-02-09,318.31884042
2012-02-10,276.66743958
2012-02-11,285.509280588
2012-02-12,313.73412
2012-02-13,325.184159412
2012-02-14,299.086199664
2012-02-15,280.684319328
2012-02-16,258.741840252
2012-02-17,225.507239748
2012-02-18,226.650480252
2012-02-19,239.61503958
2012-02-20,269.97684042
2012-02-21,260.998079412
2012-02-22,244.751639832
2012-02-23,235.139519748
2012-02-24,217.889279916
2012-02-25,237.730919748
2012-02-26,246.161999916
2012-02-27,228.487559496
2012-02-28,206.025119328
2012-02-29,207.712679748
2012-03-01,206.207399748
2012-03-02,211.365839916
2012-03-03,219.932999916
2012-03-04,244.763399916
2012-03-05,244.770119832
2012-03-06,271.591320084
2012-03-07,277.959359832
2012-03-08,259.56084
2012-03-09,227.33424084
2012-03-10,203.694120336
2012-03-11,207.573239748
2012-03-12,217.185359664
2012-03-13,222.724319916
2012-03-14,223.318199412
2012-03-15,214.891319916
2012-03-16,241.05899958
2012-03-17,224.72268042
2012-03-18,237.523439832
2012-03-19,233.234399916
2012-03-20,218.505001008
2012-03-21,232.591800252
2012-03-22,220.620120252
2012-03-23,205.679039916
2012-03-24,177.394560252
2012-03-25,189.877800252
2012-03-26,196.911120168
2012-03-27,178.344599244
2012-03-28,195.853559748
2012-03-29,202.177079748
2012-03-30,181.503840168
2012-03-31,194.750640252
2012-04-01,187.078920084
2012-04-02,203.342999412
2012-04-03,216.881280168
2012-04-04,208.913879916
2012-04-05,204.95832
2012-04-06,187.404000504
2012-04-07,196.601999916
2012-04-08,180.963719664
2012-04-09,189.876959916
2012-04-10,184.84787958
2012-04-11,215.640600084
2012-04-12,207.7152
2012-04-13,225.815520084
2012-04-14,187.40316
2012-04-15,231.721559916
2012-04-16,227.177160336
2012-04-17,229.667760084
2012-04-18,220.486559748
2012-04-19,212.372999664
2012-04-20,187.192319496
2012-04-21,159.735239916
2012-04-22,169.800960168
2012-04-23,197.132880084
2012-04-24,182.007000084
2012-04-25,190.886639832
2012-04-26,193.449480084
2012-04-27,204.491279916
2012-04-28,199.125360336
2012-04-29,228.621119748
2012-04-30,193.867800336
2012-05-01,207.973080336
2012-05-02,195.489840252
2012-05-03,198.65244
2012-05-04,185.419919916
2012-05-05,195.308400168
2012-05-06,224.709240168
2012-05-07,223.708799916
2012-05-08,206.253599748
2012-05-09,205.603439496
2012-05-10,193.373039916
2012-05-11,177.161879748
2012-05-12,153.158039916
2012-05-13,189.445199832
2012-05-14,196.881719748
2012-05-15,185.411520168
2012-05-16,183.815519748
2012-05-17,195.598199748
2012-05-18,185.767680084
2012-05-19,170.61576
2012-05-20,192.3264
2012-05-21,202.300559916
2012-05-22,176.68896
2012-05-23,168.923999916
2012-05-24,153.65112
2012-05-25,152.814480084
2012-05-26,143.89116
2012-05-27,153.924960168
2012-05-28,162.881040084
2012-05-29,149.245320084
2012-05-30,149.73504
2012-05-31,154.9254
2012-06-01,146.407800084
2012-06-02,144.40356
2012-06-03,161.854560168
2012-06-04,153.732600084
2012-06-05,183.634080084
2012-06-06,168.598920084
2012-06-07,178.97124
2012-06-08,146.42376
2012-06-09,148.645560084
2012-06-10,154.775039832
2012-06-11,180.707520084
2012-06-12,179.620560336
2012-06-13,160.107360252
2012-06-14,164.09652
2012-06-15,152.570040084
2012-06-16,137.135880084
2012-06-17,155.855280168
2012-06-18,177.312239916
2012-06-19,146.735400084
2012-06-20,145.286399832
2012-06-21,168.604799832
2012-06-22,168.06132
2012-06-23,159.452160168
2012-06-24,163.440479916
2012-06-25,162.042720252
2012-06-26,162.698760084
2012-06-27,167.668200168
2012-06-28,157.372319916
2012-06-29,153.52596
2012-06-30,138.102720168
2012-07-01,148.455720168
2012-07-02,173.99172
2012-07-03,161.746200168
2012-07-04,148.215480084
2012-07-05,151.17984
2012-07-06,156.029159748
2012-07-07,139.083
2012-07-08,160.213199916
2012-07-09,156.478559832
2012-07-10,146.96892
2012-07-11,140.878919916
2012-07-12,143.794559916
2012-07-13,149.846759916
2012-07-14,134.660400168
2012-07-15,141.272880168
2012-07-16,151.610760252
2012-07-17,138.368999916
2012-07-18,128.09328
2012-07-19,136.634399916
2012-07-20,136.997279916
2012-07-21,114.124
2012-07-22,131.28400008
2012-07-23,138.38320008
2012-07-24,130.9056
2012-07-25,127.40639992
2012-07-26,137.2144
2012-07-27,158.11920016
2012-07-28,133.5336
2012-07-29,132.0704
2012-07-30,125.53120008
2012-07-31,129.76719992
2012-08-01,131.50000032
2012-08-02,129.16560024
2012-08-03,129.7104
2012-08-04,127.43439992
