"Date","Temp"
2014-02-28,4.9
2014-03-01,4.6
2014-03-02,7.2
2014-03-03,5.7
2014-03-04,5.5
2014-03-05,7.2
2014-03-06,9.5
2014-03-07,10.5
2014-03-08,11.4
2014-03-09,13.3
2014-03-10,8.8
2014-03-11,8
2014-03-12,8.5
2014-03-13,9.3
2014-03-14,10
2014-03-15,11.9
2014-03-16,13.1
2014-03-17,10.6
2014-03-18,10.6
2014-03-19,10.8
2014-03-20,10.4
2014-03-21,9.2
2014-03-22,7.3
2014-03-23,6.1
2014-03-24,6.2
2014-03-25,6.9
2014-03-26,4.1
2014-03-27,6
2014-03-28,7.9
2014-03-29,12.5
2014-03-30,13.5
2014-03-31,13.9
2014-04-01,13.5
2014-04-02,13.7
2014-04-03,13.8
2014-04-04,12.9
2014-04-05,12.1
2014-04-06,13.7
2014-04-07,13
2014-04-08,9.7
2014-04-09,11.3
2014-04-10,11.9
2014-04-11,11.8
2014-04-12,10.7
2014-04-13,11.9
2014-04-14,11.1
2014-04-15,8.7
2014-04-16,10.6
2014-04-17,12.2
2014-04-18,8.9
2014-04-19,8.6
2014-04-20,9.8
2014-04-21,12.7
2014-04-22,12
2014-04-23,12.8
2014-04-24,12.9
2014-04-25,10.5
2014-04-26,12.2
2014-04-27,11.6
2014-04-28,12.8
2014-04-29,12.6
2014-04-30,13.3
2014-05-01,11.5
2014-05-02,9.5
2014-05-03,8.7
2014-05-04,11.9
2014-05-05,13.7
2014-05-06,15.3
2014-05-07,13.6
2014-05-08,12.8
2014-05-09,13.9
2014-05-10,12.9
2014-05-11,11.3
2014-05-12,12
2014-05-13,11
2014-05-14,13.5
2014-05-15,14.7
2014-05-16,16
2014-05-17,17.4
2014-05-18,18.7
2014-05-19,19.4
2014-05-20,17.4
2014-05-21,15.2
2014-05-22,14.9
2014-05-23,14.6
2014-05-24,12.9
2014-05-25,14.4
2014-05-26,11.5
2014-05-27,11.9
2014-05-28,12.3
2014-05-29,15.2
2014-05-30,13.3
2014-05-31,14
2014-06-01,16.7
2014-06-02,17.2
2014-06-03,15.2
2014-06-04,12.7
2014-06-05,14.3
2014-06-06,16.1
2014-06-07,18.1
2014-06-08,19.5
2014-06-09,19.7
2014-06-10,18.6
2014-06-11,17.5
2014-06-12,19.1
2014-06-13,20.1
2014-06-14,17.8
2014-06-15,15
2014-06-16,14.5
2014-06-17,16.1
2014-06-18,16.9
2014-06-19,15.8
2014-06-20,16.3
2014-06-21,19.1
2014-06-22,19.1
2014-06-23,18.5
2014-06-24,18.2
2014-06-25,16.2
2014-06-26,16.2
2014-06-27,17.7
2014-06-28,15.4
2014-06-29,14.5
2014-06-30,14.8
2014-07-01,17.1
2014-07-02,18.4
2014-07-03,21
2014-07-04,20.6
2014-07-05,18.2
2014-07-06,17.3
2014-07-07,16.8
2014-07-08,15.1
2014-07-09,17.4
2014-07-10,15.8
2014-07-11,15.4
2014-07-12,20
2014-07-13,19.6
2014-07-14,18.6
2014-07-15,20.9
2014-07-16,21
2014-07-17,22.1
2014-07-18,24.1
2014-07-19,22.9
2014-07-20,21.1
2014-07-21,20.8
2014-07-22,20.8
2014-07-23,21.3
2014-07-24,22
2014-07-25,19.5
2014-07-26,22
2014-07-27,21
2014-07-28,18.8
2014-07-29,20.8
2014-07-30,20
2014-07-31,20.6
2014-08-01,20.1
2014-08-02,19.6
2014-08-03,18.8
2014-08-04,19.2
2014-08-05,19.3
2014-08-06,20.4
2014-08-07,20.6
2014-08-08,19.4
2014-08-09,18.2
2014-08-10,17.4
2014-08-11,16
2014-08-12,15.5
2014-08-13,16.6
2014-08-14,15.9
2014-08-15,15.8
2014-08-16,16.3
2014-08-17,16.3
2014-08-18,14.8
2014-08-19,13.8
2014-08-20,13.8
2014-08-21,13.5
2014-08-22,15.4
2014-08-23,14.2
2014-08-24,14
2014-08-25,15.1
2014-08-26,15.2
2014-08-27,15.5
2014-08-28,18.1
2014-08-29,17.1
2014-08-30,17.2
2014-08-31,16.6
2014-09-01,15.8
2014-09-02,16.9
2014-09-03,17.8
2014-09-04,17.2
2014-09-05,16.9
2014-09-06,17.6
2014-09-07,15.8
2014-09-08,15.4
2014-09-09,15.7
2014-09-10,15.1
2014-09-11,14.4
2014-09-12,16.6
2014-09-13,15.9
2014-09-14,15.8
2014-09-15,16.3
2014-09-16,17.3
2014-09-17,17.1
2014-09-18,18.8
2014-09-19,18.4
2014-09-20,16.6
2014-09-21,14.2
2014-09-22,12.2
2014-09-23,13.1
2014-09-24,14.2
2014-09-25,14
2014-09-26,16.9
2014-09-27,16.6
2014-09-28,18
2014-09-29,15.7
2014-09-30,17.3
2014-10-01,17.2
2014-10-02,16.7
2014-10-03,16.4
2014-10-04,13
2014-10-05,9.6
2014-10-06,11.5
2014-10-07,11
2014-10-08,12.3
2014-10-09,13.4
2014-10-10,12.8
2014-10-11,12.8
2014-10-12,10.3
2014-10-13,12.8
2014-10-14,13.3
2014-10-15,13.3
2014-10-16,14.7
2014-10-17,16
2014-10-18,17.8
2014-10-19,16.8
2014-10-20,14.3
2014-10-21,11.9
2014-10-22,10.1
2014-10-23,13.7
2014-10-24,15
2014-10-25,11.8
2014-10-26,13.5
2014-10-27,15.1
2014-10-28,14.8
2014-10-29,13.1
2014-10-30,15.2
2014-10-31,16.7
2014-11-01,15.3
2014-11-02,13.9
2014-11-03,9.1
2014-11-04,7.2
2014-11-05,7
2014-11-06,7.1
2014-11-07,11.2
2014-11-08,10.8
2014-11-09,9.4
2014-11-10,10.1
2014-11-11,11.7
2014-11-12,11.5
2014-11-13,11.6
2014-11-14,10.8
2014-11-15,9.1
2014-11-16,9.5
2014-11-17,8.5
2014-11-18,9.2
2014-11-19,8.8
2014-11-20,7.8
2014-11-21,7.6
2014-11-22,12.8
2014-11-23,8.7
2014-11-24,3.5
2014-11-25,5.9
2014-11-26,8.7
2014-11-27,9.9
2014-11-28,10.7
2014-11-29,10.1
2014-11-30,8.7
2014-12-01,6.9
2014-12-02,6.6
2014-12-03,5.9
2014-12-04,4
2014-12-05,4.1
2014-12-06,2.4
2014-12-07,6.6
2014-12-08,4
2014-12-09,5
2014-12-10,7.6
2014-12-11,6.9
2014-12-12,7.1
2014-12-13,2.4
2014-12-14,5.8
2014-12-15,6.8
2014-12-16,4.7
2014-12-17,11.1
2014-12-18,13
2014-12-19,9.3
2014-12-20,6.8
2014-12-21,8.6
2014-12-22,12.5
2014-12-23,11.7
2014-12-24,8.5
2014-12-25,4.8
2014-12-26,3.6
2014-12-27,2.9
2014-12-28,1.9
2014-12-29,1.1
2014-12-30,1.3
2014-12-31,3.9
2015-01-01,8.7
2015-01-02,8.6
2015-01-03,4.3
2015-01-04,1.9
2015-01-05,7.5
2015-01-06,7.2
2015-01-07,6.6
2015-01-08,8.9
2015-01-09,11.9
2015-01-10,9.7
2015-01-11,5.8
2015-01-12,10.2
2015-01-13,7.8
2015-01-14,5.2
2015-01-15,7.8
2015-01-16,4.6
2015-01-17,2.8
2015-01-18,2.5
2015-01-19,0.9
2015-01-20,0.6
2015-01-21,2.8
2015-01-22,1.2
2015-01-23,1.1
2015-01-24,4.6
2015-01-25,4.7
2015-01-26,7.9
2015-01-27,6.2
2015-01-28,6.3
2015-01-29,2.9
2015-01-30,3.2
2015-01-31,2.5
2015-02-01,2.8
2015-02-02,-0.1
2015-02-03,1.4
2015-02-04,2.2
2015-02-05,2.1
2015-02-06,1.8
2015-02-07,3
2015-02-08,4.8
2015-02-09,4.9
2015-02-10,5.4
2015-02-11,4.8
2015-02-12,3.6
2015-02-13,6.6
2015-02-14,6.8
2015-02-15,5.8
2015-02-16,5.8
2015-02-17,4.6
