"Date","Temp"
2011-12-08,8.8
2011-12-09,5
2011-12-10,2.6
2011-12-11,6.6
2011-12-12,6.3
2011-12-13,7.6
2011-12-14,4.9
2011-12-15,5.8
2011-12-16,2.8
2011-12-17,2.6
2011-12-18,1.5
2011-12-19,3.1
2011-12-20,6.4
2011-12-21,9.4
2011-12-22,10
2011-12-23,9.2
2011-12-24,5.6
2011-12-25,10.5
2011-12-26,11.6
2011-12-27,9.8
2011-12-28,8.7
2011-12-29,7
2011-12-30,6.7
2011-12-31,11.7
2012-01-01,11.1
2012-01-02,5.8
2012-01-03,8.4
2012-01-04,6.9
2012-01-05,8.9
2012-01-06,6.6
2012-01-07,9.2
2012-01-08,8.7
2012-01-09,10.1
2012-01-10,10.1
2012-01-11,9.1
2012-01-12,8.4
2012-01-13,2.8
2012-01-14,0.7
2012-01-15,2.4
2012-01-16,2.1
2012-01-17,2.1
2012-01-18,9.3
2012-01-19,9.3
2012-01-20,7.6
2012-01-21,10
2012-01-22,8.2
2012-01-23,6.2
2012-01-24,6
2012-01-25,9.3
2012-01-26,7.1
2012-01-27,4.6
2012-01-28,3.9
2012-01-29,2.6
2012-01-30,1.7
2012-01-31,0.6
2012-02-01,0.2
2012-02-02,-1.4
2012-02-03,-1.9
2012-02-04,-1.5
2012-02-05,1
2012-02-06,2.3
2012-02-07,0
2012-02-08,-0.7
2012-02-09,0.2
2012-02-10,-0.7
2012-02-11,-3.7
2012-02-12,0.3
2012-02-13,3.8
2012-02-14,5.8
2012-02-15,8.3
2012-02-16,8.1
2012-02-17,9.6
2012-02-18,7.6
2012-02-19,2.6
2012-02-20,3.8
2012-02-21,8.6
2012-02-22,8.8
2012-02-23,12.9
2012-02-24,11.4
2012-02-25,8.3
2012-02-26,7.5
2012-02-27,9.1
2012-02-28,11.4
2012-02-29,10.9
2012-03-01,9.9
2012-03-02,7
2012-03-03,9.7
2012-03-04,6.3
2012-03-05,5.9
2012-03-06,4.9
2012-03-07,7.2
2012-03-08,7.3
2012-03-09,9.4
2012-03-10,11.5
2012-03-11,10.2
2012-03-12,8.3
2012-03-13,6.9
2012-03-14,7.4
2012-03-15,8.8
2012-03-16,9.1
2012-03-17,9.1
2012-03-18,6.3
2012-03-19,7.8
2012-03-20,9.4
2012-03-21,10.7
2012-03-22,10.5
2012-03-23,12.5
2012-03-24,11.9
